id,slug,firstname,lastname,full_name,company,normalized_company,company_candidates,job_title,image_url,has_bio,has_sessions,tags,top,top_order
50bbbb5c-9568-f111-8fcb-6045bd954326,jeff-bezos-founder-amazon-blue-origin,Jeff,Bezos,Jeff Bezos,"Co-CEO, Prometheus",ceo prometheus,ceo prometheus | prometheus,"Founder, Amazon & Blue Origin",https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/852189e2-1318-41e9-b6e3-49ee52e106b1,True,True,,True,1
18a0af3a-6265-f111-8fcb-6045bd954326,david-limp-ceo,David,Limp,David Limp,Blue Origin,blue origin,blue origin,CEO,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/c2beadb2-5f68-4b2c-bb32-41d55f44ffbb,False,True,,True,1
6800de77-6265-f111-8fcb-6045bd954326,mike-massimino-former-astronaut,Mike,Massimino,Mike Massimino,NASA,nasa,nasa,Former Astronaut,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/b3ba1351-86c6-4648-9840-18feffaa6a50,False,True,,True,2
dfd8c32b-6bea-40eb-9ce4-335a928da8c1,yann-lecun-co-founder-and-chairman,Yann,LeCun,Yann LeCun,AMI Labs,ami labs,ami labs,Co-founder and Chairman,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/0d34408b-6ae2-4fa0-9bf1-c55c1078e97c,True,True,Artificial Intelligence & Robotics | Growth & Startup & Investment,True,3
daca9c9e-a268-f111-8fcb-6045bd954326,emmanuel-macron-president,Emmanuel,Macron,Emmanuel Macron,France,france,france,President,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/cc4539ee-c974-4c8c-8b49-40371cbd1f7b,True,False,,True,3
6dc0326c-1b60-f111-8fcb-6045bd954326,narendra-modi-prime-minister,Narendra,Modi,Narendra Modi,India,india,india,Prime Minister,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/45aeba61-3177-4b00-8044-d601df87cefa,True,True,,True,3
bec1b741-aab2-4e3c-9dce-542195ca9be3,karsten-wildberger-federal-minister-for-digital-transformation-and-government-modernization,Karsten,Wildberger,Karsten Wildberger,Germany,germany,germany,Federal Minister for Digital Transformation and Government Modernization,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/e83b04af-61f3-4b27-a93e-bb994d6c3981,True,True,,True,4
46e67cef-1e8f-4fd0-8a6c-3cdca667833e,shantanu-narayen-chair-and-ceo,Shantanu,Narayen,Shantanu Narayen,Adobe,adobe,adobe,Chair and CEO,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/c98e2e31-b052-4d62-8d17-1dcaa5117b40,True,True,,True,5
013536d5-9a5a-f111-8fcb-6045bd954326,peter-steinberger-founder,Peter,Steinberger,Peter Steinberger,OpenClaw,openclaw,openclaw,Founder,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/a9384687-309c-4c80-8e90-a6985bbfbd80,True,True,Artificial Intelligence & Robotics,True,5
e252bbdb-cb36-4bdb-9a18-13f8ca5877a3,henna-virkkunen-executive-vice-president-for-tech-sovereignty-security-and-democracy,Henna,Virkkunen,Henna Virkkunen,European Commission,european commission,european commission,"Executive Vice-President for Tech Sovereignty, Security and Democracy",https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/0a1e621e-367c-4095-bb60-060164568674,True,True,,True,6
982fd3ab-1117-4399-86da-41a237a1332b,joe-tsai-co-founder-and-chairman,Joe,Tsai,Joe Tsai,Alibaba,alibaba,alibaba,Co-founder and Chairman,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/8000fdaf-4869-4bf1-9a87-67e401a498d3,True,True,,True,7
389c35ba-3d5b-453b-8b24-98842dacd52b,christophe-fouquet-ceo,Christophe,Fouquet,Christophe Fouquet,ASML,asml,asml,CEO,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/90e9eabc-0790-4cf9-924e-9402f004cc74,True,True,,True,8
4653a79c-6ed7-4bc8-8542-894eee9ddb1b,valerie-baudson-ceo,Valérie,Baudson,Valérie Baudson,Amundi,amundi,amundi,CEO,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/728e7512-f658-4a25-bdfb-11430975e51b,True,True,,True,9
742ce898-1360-467a-a700-0a604ca6921d,ekaterina-zaharieva-eu-commissioner-startups-research-and-innovation,Ekaterina,Zaharieva,Ekaterina Zaharieva,European Commission,european commission,european commission,"EU Commissioner Startups, Research and Innovation",https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/c9d2e025-a846-45cc-afb7-88dded1a2e1f,True,True,,True,9
