timestamp_utc,entity_id,entity_type,display_name,query,error
2026-06-17T21:18:20.931859+00:00,company_597b7d9847687a8d4471,company,2501.ai,"""2501.ai"" VivaTech exhibitor company France Industry & Supply Chain",search page appears to be blocked by anti-bot challenge
2026-06-17T21:18:21.665666+00:00,company_adf6cf79dfd4ff85a8a3,company,2be-Fficient,"""2be-Fficient"" VivaTech exhibitor company France Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:18:22.385384+00:00,company_8fbf294a98ba40d5dcb8,company,33 Trucs,"""33 Trucs"" VivaTech exhibitor company France HR & EdTech & Future of Work",search page appears to be blocked by anti-bot challenge
2026-06-17T21:18:25.175594+00:00,company_2cc617579bbe2e48b22e,company,3dvarius,"""3dvarius"" VivaTech exhibitor company France Artificial Intelligence & Robotics",search page appears to be blocked by anti-bot challenge
2026-06-17T21:18:26.732171+00:00,company_b10b52bbf0f69cd33ec0,company,3rdcomply,"""3rdcomply"" VivaTech exhibitor company Netherlands Consulting & B2B services",search page appears to be blocked by anti-bot challenge
2026-06-17T21:18:28.749017+00:00,company_59d66c8ead928d46a336,company,63 Inc,"""63 Inc"" VivaTech exhibitor company Rwanda Consulting & B2B services",search page appears to be blocked by anti-bot challenge
2026-06-17T21:18:30.844319+00:00,company_10bad68efff4dfe03872,company,[E-Security.bio],"""[E-Security.bio]"" VivaTech exhibitor company Portugal DeepTech",search page appears to be blocked by anti-bot challenge
2026-06-17T21:18:31.510632+00:00,company_86e61f9c1a23aa52626f,company,A Blue Thing in the Cloud,"""A Blue Thing in the Cloud"" VivaTech exhibitor company Spain DeepTech",search page appears to be blocked by anti-bot challenge
2026-06-17T21:18:32.962589+00:00,company_ab6a8e8dc6a8c655fc9a,company,Aalia.tech,"""Aalia.tech"" VivaTech exhibitor company France Healthcare & Wellness",search page appears to be blocked by anti-bot challenge
2026-06-17T21:18:34.271980+00:00,company_4783811856c5c8b01c6c,company,Abillio,"""Abillio"" VivaTech exhibitor company Latvia Fintech & Banking & Compliance",search page appears to be blocked by anti-bot challenge
2026-06-17T21:18:34.989691+00:00,company_6b77084b8e4240c2a828,company,"Abr Co., Ltd","""Abr Co., Ltd"" VivaTech exhibitor company South Korea Energy & Greentech",search page appears to be blocked by anti-bot challenge
