country,companies,companies_share,companies_with_speakers,matched_speakers,speaker_per_100_companies,coverage_pct,no_speaker_companies
France,1579,0.5008,101,180,11.4,6.4,1478
Germany,232,0.0736,12,26,11.2,5.2,220
Canada,124,0.0393,2,2,1.6,1.6,122
South Korea,96,0.0304,1,2,2.1,1.0,95
India,88,0.0279,2,3,3.4,2.3,86
United States of America,73,0.0232,23,68,93.2,31.5,50
Italy,71,0.0225,2,2,2.8,2.8,69
Belgium,70,0.0222,1,2,2.9,1.4,69
korearepublicof,57,0.0181,0,0,0.0,0.0,57
Spain,54,0.0171,2,2,3.7,3.7,52
Japan,52,0.0165,2,3,5.8,3.8,50
Switzerland,45,0.0143,0,0,0.0,0.0,45
Cote d’Ivoire,36,0.0114,0,0,0.0,0.0,36
Taiwan,34,0.0108,1,1,2.9,2.9,33
United Kingdom,33,0.0105,6,20,60.6,18.2,27
Netherlands,32,0.0101,3,4,12.5,9.4,29
Portugal,32,0.0101,1,1,3.1,3.1,31
Hong Kong,29,0.0092,5,6,20.7,17.2,24
China,28,0.0089,7,10,35.7,25.0,21
Senegal,27,0.0086,0,0,0.0,0.0,27
Turkey,26,0.0082,0,0,0.0,0.0,26
Sweden,22,0.007,3,5,22.7,13.6,19
Israel,21,0.0067,0,0,0.0,0.0,21
Poland,21,0.0067,0,0,0.0,0.0,21
Luxembourg,19,0.006,1,1,5.3,5.3,18
United Arab Emirates,18,0.0057,2,3,16.7,11.1,16
Estonia,16,0.0051,0,0,0.0,0.0,16
Tunisia,15,0.0048,0,0,0.0,0.0,15
Brazil,14,0.0044,0,0,0.0,0.0,14
Ukraine,14,0.0044,0,0,0.0,0.0,14
Australia,13,0.0041,0,0,0.0,0.0,13
Zimbabwe,12,0.0038,0,0,0.0,0.0,12
Serbia,11,0.0035,0,0,0.0,0.0,11
Latvia,10,0.0032,6,6,60.0,60.0,4
Mauritius,10,0.0032,0,0,0.0,0.0,10
Rwanda,9,0.0029,0,0,0.0,0.0,9
Lithuania,9,0.0029,0,0,0.0,0.0,9
New Caledonia,8,0.0025,0,0,0.0,0.0,8
Morocco,8,0.0025,0,0,0.0,0.0,8
Austria,7,0.0022,1,1,14.3,14.3,6
Thailand,7,0.0022,0,0,0.0,0.0,7
Cyprus,6,0.0019,0,0,0.0,0.0,6
Singapore,6,0.0019,0,0,0.0,0.0,6
Reunion,5,0.0016,0,0,0.0,0.0,5
Guinea,5,0.0016,0,0,0.0,0.0,5
Oman,4,0.0013,0,0,0.0,0.0,4
Mayotte,3,0.001,0,0,0.0,0.0,3
Unknown,3,0.001,2,2,66.7,66.7,1
Croatia,3,0.001,1,1,33.3,33.3,2
Egypt,3,0.001,0,0,0.0,0.0,3
Kenya,3,0.001,1,1,33.3,33.3,2
Jordan,2,0.0006,0,0,0.0,0.0,2
Romania,2,0.0006,0,0,0.0,0.0,2
Ireland,2,0.0006,1,1,50.0,50.0,1
Armenia,2,0.0006,0,0,0.0,0.0,2
Slovenia,2,0.0006,0,0,0.0,0.0,2
"Congo, the Democratic Republic",2,0.0006,0,0,0.0,0.0,2
"Moldova, Republic",2,0.0006,0,0,0.0,0.0,2
Finland,1,0.0003,0,0,0.0,0.0,1
Lebanon,1,0.0003,1,1,100.0,100.0,0
Zambia,1,0.0003,0,0,0.0,0.0,1
Greece,1,0.0003,0,0,0.0,0.0,1
Vietnam,1,0.0003,0,0,0.0,0.0,1
Norway,1,0.0003,0,0,0.0,0.0,1
Denmark,1,0.0003,0,0,0.0,0.0,1
Cameroon,1,0.0003,0,0,0.0,0.0,1
Czech Republic,1,0.0003,0,0,0.0,0.0,1
"Macedonia, The Former Yugoslav Republic",1,0.0003,0,0,0.0,0.0,1
Nigeria,1,0.0003,1,1,100.0,100.0,0
Malaysia,1,0.0003,0,0,0.0,0.0,1
Burkina Faso,1,0.0003,0,0,0.0,0.0,1
South Africa,1,0.0003,0,0,0.0,0.0,1
Mexico,1,0.0003,0,0,0.0,0.0,1
Madagascar,1,0.0003,0,0,0.0,0.0,1
