timestamp_utc,entity_id,entity_type,display_name,query,error
2026-06-17T21:22:53.948286+00:00,company_a850aeab08b8527ae14d,company,10%,"site:vivatech.com/exhibitors ""10%"" VivaTech 10",search page appears to be blocked by anti-bot challenge
2026-06-17T21:22:54.561570+00:00,company_3061f90ef7b971dcc7f6,company,10-Chairs,"site:vivatech.com/exhibitors ""10-Chairs"" VivaTech 10-chairs",search page appears to be blocked by anti-bot challenge
2026-06-17T21:22:55.456198+00:00,company_8fa5d642bd14d687a8aa,company,1telsa Cote d\'Ivoire,"site:vivatech.com/exhibitors ""1telsa Cote d\'Ivoire"" VivaTech 1telsa-cote-divoire",search page appears to be blocked by anti-bot challenge
2026-06-17T21:22:56.093618+00:00,company_03a96116560cb9a1b34a,company,21 | Croix-Rouge Française,"site:vivatech.com/exhibitors ""21 | Croix-Rouge Française"" VivaTech 21-croix-rouge-francaise",search page appears to be blocked by anti-bot challenge
2026-06-17T21:22:56.690822+00:00,company_597b7d9847687a8d4471,company,2501.ai,"site:vivatech.com/exhibitors ""2501.ai"" VivaTech 2501ai",search page appears to be blocked by anti-bot challenge
2026-06-17T21:22:57.239873+00:00,company_adf6cf79dfd4ff85a8a3,company,2be-Fficient,"site:vivatech.com/exhibitors ""2be-Fficient"" VivaTech 2be-fficient",search page appears to be blocked by anti-bot challenge
2026-06-17T21:22:57.864189+00:00,company_8fbf294a98ba40d5dcb8,company,33 Trucs,"site:vivatech.com/exhibitors ""33 Trucs"" VivaTech 33-trucs",search page appears to be blocked by anti-bot challenge
2026-06-17T21:22:58.523140+00:00,company_ffd3a99821ea65c9b7e7,company,365talents,"site:vivatech.com/exhibitors ""365talents"" VivaTech 365talents",search page appears to be blocked by anti-bot challenge
2026-06-17T21:22:59.046572+00:00,company_58a736f6e3f09468af32,company,3d Healtech,"site:vivatech.com/exhibitors ""3d Healtech"" VivaTech 3d-healtech",search page appears to be blocked by anti-bot challenge
2026-06-17T21:22:59.702892+00:00,company_2e30fb89aa8a15ddea19,company,3dev-Group / Carcul,"site:vivatech.com/exhibitors ""3dev-Group / Carcul"" VivaTech 3dev-group-carcul",search page appears to be blocked by anti-bot challenge
2026-06-17T21:23:00.348057+00:00,company_2cc617579bbe2e48b22e,company,3dvarius,"site:vivatech.com/exhibitors ""3dvarius"" VivaTech 3dvarius",search page appears to be blocked by anti-bot challenge
2026-06-17T21:23:00.899511+00:00,company_9ad160e7950dda2c5c52,company,3e Innovation,"site:vivatech.com/exhibitors ""3e Innovation"" VivaTech 3e-innovation",search page appears to be blocked by anti-bot challenge
2026-06-17T21:23:01.489096+00:00,company_b10b52bbf0f69cd33ec0,company,3rdcomply,"site:vivatech.com/exhibitors ""3rdcomply"" VivaTech 3rdcomply",search page appears to be blocked by anti-bot challenge
2026-06-17T21:23:02.161178+00:00,company_2072b5ef12190368bc92,company,5C,"site:vivatech.com/exhibitors ""5C"" VivaTech 5c",search page appears to be blocked by anti-bot challenge
2026-06-17T21:23:02.827249+00:00,company_bbd0db1269b94bc2632e,company,60fps,"site:vivatech.com/exhibitors ""60fps"" VivaTech 60fps",search page appears to be blocked by anti-bot challenge
2026-06-17T21:23:03.548259+00:00,company_59d66c8ead928d46a336,company,63 Inc,"site:vivatech.com/exhibitors ""63 Inc"" VivaTech 63-inc",search page appears to be blocked by anti-bot challenge
2026-06-17T21:23:04.100463+00:00,company_8f02f09088e130fde0af,company,630° Est,"site:vivatech.com/exhibitors ""630° Est"" VivaTech 630-est",search page appears to be blocked by anti-bot challenge
2026-06-17T21:23:04.781197+00:00,company_406e30cd84e7ac3b482e,company,8 Game Learn,"site:vivatech.com/exhibitors ""8 Game Learn"" VivaTech 8-game-learn",search page appears to be blocked by anti-bot challenge
2026-06-17T21:23:05.473739+00:00,company_10bad68efff4dfe03872,company,[E-Security.bio],"site:vivatech.com/exhibitors ""[E-Security.bio]"" VivaTech e-securitybio",search page appears to be blocked by anti-bot challenge
2026-06-17T21:23:06.217753+00:00,company_86e61f9c1a23aa52626f,company,A Blue Thing in the Cloud,"site:vivatech.com/exhibitors ""A Blue Thing in the Cloud"" VivaTech a-blue-thing-in-the-cloud",search page appears to be blocked by anti-bot challenge
